trial_id,config_id,mode,micro_batch,grad_accum,global_batch,precision,world_size,trial_type,trial_value,result,step_time_mean_s,step_time_p95_s,gpu_memory_peak_mb,ooms,loss,gradient_norm,status,duration_s,ts
trial-767504c4,test-capacity,strict_repro,32,1,32,FP32,1,capacity,32,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:16:10.896316+00:00
trial-a6322f0e,test-capacity,strict_repro,16,1,16,FP32,1,capacity,16,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:16:10.896472+00:00
trial-9e2e8d8b,test-capacity,strict_repro,8,1,8,FP32,1,capacity,8,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:16:10.896572+00:00
trial-fb940709,test-capacity,strict_repro,4,1,4,FP32,1,capacity,4,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:16:10.896649+00:00
trial-2a7b7d45,test-capacity,strict_repro,2,1,2,FP32,1,capacity,2,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:16:10.896721+00:00
trial-8482a6b9,test-capacity,strict_repro,1,1,1,FP32,1,capacity,1,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:16:10.896787+00:00
trial-e79e08c6,test-capacity,strict_repro,32,1,32,FP32,1,capacity,32,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:16:56.172729+00:00
trial-451a9dd3,test-capacity,strict_repro,16,1,16,FP32,1,capacity,16,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:16:56.172920+00:00
trial-d9341ee0,test-capacity,strict_repro,8,1,8,FP32,1,capacity,8,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:16:56.173037+00:00
trial-b317db76,test-capacity,strict_repro,4,1,4,FP32,1,capacity,4,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:16:56.173129+00:00
trial-233545fd,test-capacity,strict_repro,2,1,2,FP32,1,capacity,2,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:16:56.173213+00:00
trial-87cbc390,test-capacity,strict_repro,1,1,1,FP32,1,capacity,1,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:16:56.173289+00:00
trial-f1781c55,test-capacity,strict_repro,32,1,32,FP32,1,capacity,32,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:13.710998+00:00
trial-2b5da841,test-capacity,strict_repro,16,1,16,FP32,1,capacity,16,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:13.711125+00:00
trial-617486e2,test-capacity,strict_repro,8,1,8,FP32,1,capacity,8,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:13.711219+00:00
trial-f7adb9db,test-capacity,strict_repro,4,1,4,FP32,1,capacity,4,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:13.711297+00:00
trial-c6d1a15f,test-capacity,strict_repro,2,1,2,FP32,1,capacity,2,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:13.711367+00:00
trial-24873ead,test-capacity,strict_repro,1,1,1,FP32,1,capacity,1,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:13.711430+00:00
trial-a42386fb,test-capacity,strict_repro,32,1,32,FP32,1,capacity,32,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:26.469392+00:00
trial-91b4c3e2,test-capacity,strict_repro,16,1,16,FP32,1,capacity,16,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:26.469509+00:00
trial-261873b0,test-capacity,strict_repro,8,1,8,FP32,1,capacity,8,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:26.469603+00:00
trial-2e7beca2,test-capacity,strict_repro,4,1,4,FP32,1,capacity,4,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:26.469684+00:00
trial-1cbc8f03,test-capacity,strict_repro,2,1,2,FP32,1,capacity,2,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:26.469866+00:00
trial-157ce892,test-capacity,strict_repro,1,1,1,FP32,1,capacity,1,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:26.469951+00:00
trial-66274ded,test-capacity,strict_repro,32,1,32,FP32,1,capacity,32,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:52.041886+00:00
trial-7de09a10,test-capacity,strict_repro,16,1,16,FP32,1,capacity,16,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:52.042011+00:00
trial-681f7516,test-capacity,strict_repro,8,1,8,FP32,1,capacity,8,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:52.042080+00:00
trial-8477fb12,test-capacity,strict_repro,4,1,4,FP32,1,capacity,4,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:52.042127+00:00
trial-e9940d4f,test-capacity,strict_repro,2,1,2,FP32,1,capacity,2,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:52.042168+00:00
trial-3e291b68,test-capacity,strict_repro,1,1,1,FP32,1,capacity,1,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:17:52.042206+00:00
trial-c19eb5e5,test-capacity,strict_repro,32,1,32,FP32,1,capacity,32,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:18:01.603793+00:00
trial-b2159399,test-capacity,strict_repro,16,1,16,FP32,1,capacity,16,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:18:01.603909+00:00
trial-94a1068c,test-capacity,strict_repro,8,1,8,FP32,1,capacity,8,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:18:01.603975+00:00
trial-971eebe5,test-capacity,strict_repro,4,1,4,FP32,1,capacity,4,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:18:01.604022+00:00
trial-31334f91,test-capacity,strict_repro,2,1,2,FP32,1,capacity,2,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:18:01.604063+00:00
trial-1a3278c1,test-capacity,strict_repro,1,1,1,FP32,1,capacity,1,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:18:01.604169+00:00
